domain,token,count,classification,notes
spacing,py-0,15,near-duplicate,tailwind spacing utility
spacing,pt-3,13,near-duplicate,tailwind spacing utility
spacing,px-2.5,13,near-duplicate,tailwind spacing utility
spacing,pt-1,12,near-duplicate,tailwind spacing utility
spacing,mb-4,11,near-duplicate,tailwind spacing utility
spacing,py-4,10,near-duplicate,tailwind spacing utility
spacing,py-8,10,near-duplicate,tailwind spacing utility
spacing,mt-8,9,near-duplicate,tailwind spacing utility
spacing,mt-12,8,near-duplicate,tailwind spacing utility
spacing,p-2.5,8,near-duplicate,tailwind spacing utility
spacing,mt-4,7,near-duplicate,tailwind spacing utility
spacing,space-y-6,7,near-duplicate,tailwind spacing utility
spacing,mb-0.5,6,near-duplicate,tailwind spacing utility
spacing,mt-1.5,6,near-duplicate,tailwind spacing utility
spacing,py-12,6,near-duplicate,tailwind spacing utility
spacing,p-0,5,near-duplicate,tailwind spacing utility
spacing,pr-2,5,near-duplicate,tailwind spacing utility
spacing,pt-0.5,5,near-duplicate,tailwind spacing utility
spacing,my-0.5,4,near-duplicate,tailwind spacing utility
spacing,pt-2,4,near-duplicate,tailwind spacing utility
spacing,px-0.5,4,near-duplicate,tailwind spacing utility
spacing,px-6,4,near-duplicate,tailwind spacing utility
spacing,gap-2.5,3,near-duplicate,tailwind spacing utility
spacing,mr-0.5,3,near-duplicate,tailwind spacing utility
spacing,p-1.5,3,near-duplicate,tailwind spacing utility
spacing,p-8,3,near-duplicate,tailwind spacing utility
spacing,pl-1,3,near-duplicate,tailwind spacing utility
spacing,gap-6,2,near-duplicate,tailwind spacing utility
spacing,mx-1,2,near-duplicate,tailwind spacing utility
spacing,p-1,2,near-duplicate,tailwind spacing utility
spacing,p-5,2,near-duplicate,tailwind spacing utility
spacing,pb-1,2,near-duplicate,tailwind spacing utility
spacing,pb-1.5,2,near-duplicate,tailwind spacing utility
spacing,pb-4,2,near-duplicate,tailwind spacing utility
spacing,pl-2,2,near-duplicate,tailwind spacing utility
spacing,pr-1,2,near-duplicate,tailwind spacing utility
spacing,gap-5,1,near-duplicate,tailwind spacing utility
spacing,m-0,1,near-duplicate,tailwind spacing utility
spacing,m-4,1,near-duplicate,tailwind spacing utility
spacing,mr-2,1,near-duplicate,tailwind spacing utility
spacing,mr-4,1,near-duplicate,tailwind spacing utility
spacing,mt-0,1,near-duplicate,tailwind spacing utility
spacing,p-3.5,1,drift,tailwind spacing utility
spacing,p-6,1,near-duplicate,tailwind spacing utility
spacing,pl-4,1,near-duplicate,tailwind spacing utility
spacing,pl-5,1,near-duplicate,tailwind spacing utility
spacing,pr-7,1,drift,tailwind spacing utility
spacing,space-y-2.5,1,near-duplicate,tailwind spacing utility
spacing,space-y-3.5,1,drift,tailwind spacing utility
radius,rounded,1064,compliant,tailwind radius utility
radius,rounded-full,163,compliant,tailwind radius utility
radius,rounded-lg,58,compliant,tailwind radius utility
radius,rounded-md,9,near-duplicate,tailwind radius utility
radius,rounded-t,5,near-duplicate,tailwind radius utility
radius,rounded-b,4,near-duplicate,tailwind radius utility
radius,rounded-sm,3,near-duplicate,tailwind radius utility
radius,rounded-none,1,drift,tailwind radius utility
raw-hex,#4361ee,2,drift,literal hex value in css/ts/tsx
raw-hex,#060b1a,1,compliant,literal hex value in css/ts/tsx
raw-hex,#0a1330,1,compliant,literal hex value in css/ts/tsx
raw-hex,#0b1220,1,compliant,literal hex value in css/ts/tsx
raw-hex,#0d1834,1,compliant,literal hex value in css/ts/tsx
raw-hex,#0e7490,1,drift,literal hex value in css/ts/tsx
raw-hex,#0f1a35,1,compliant,literal hex value in css/ts/tsx
raw-hex,#10b981,1,drift,literal hex value in css/ts/tsx
raw-hex,#10b98180,1,drift,literal hex value in css/ts/tsx
raw-hex,#111f41,1,compliant,literal hex value in css/ts/tsx
raw-hex,#1f2937,1,drift,literal hex value in css/ts/tsx
raw-hex,#243a65,1,compliant,literal hex value in css/ts/tsx
raw-hex,#38bdf8,1,near-duplicate,literal hex value in css/ts/tsx
raw-hex,#3b82f6,1,drift,literal hex value in css/ts/tsx
raw-hex,#3b82f680,1,drift,literal hex value in css/ts/tsx
raw-hex,#4d7c0f,1,drift,literal hex value in css/ts/tsx
raw-hex,#54617a,1,compliant,literal hex value in css/ts/tsx
raw-hex,#9ca3af,1,drift,literal hex value in css/ts/tsx
raw-hex,#a5f3fc,1,drift,literal hex value in css/ts/tsx
raw-hex,#adc2eb,1,compliant,literal hex value in css/ts/tsx
raw-hex,#be123c,1,drift,literal hex value in css/ts/tsx
raw-hex,#cffafe,1,drift,literal hex value in css/ts/tsx
raw-hex,#d7e0f1,1,compliant,literal hex value in css/ts/tsx
raw-hex,#d9f99d,1,drift,literal hex value in css/ts/tsx
raw-hex,#e5e7eb,1,drift,literal hex value in css/ts/tsx
raw-hex,#eaf0ff,1,compliant,literal hex value in css/ts/tsx
raw-hex,#ecf1ff,1,compliant,literal hex value in css/ts/tsx
raw-hex,#ecfccb,1,drift,literal hex value in css/ts/tsx
raw-hex,#eef2ff,1,compliant,literal hex value in css/ts/tsx
raw-hex,#f3f4f6,1,drift,literal hex value in css/ts/tsx
raw-hex,#f472b6,1,near-duplicate,literal hex value in css/ts/tsx
raw-hex,#f59e0b,1,near-duplicate,literal hex value in css/ts/tsx
raw-hex,#f8fafc,1,compliant,literal hex value in css/ts/tsx
raw-hex,#f8fbff,1,compliant,literal hex value in css/ts/tsx
raw-hex,#fecdd3,1,drift,literal hex value in css/ts/tsx
raw-hex,#ffe4e6,1,drift,literal hex value in css/ts/tsx
raw-hex,#ffffff,1,compliant,literal hex value in css/ts/tsx
inline-style-hotspot,src/pages/studio/StudioPage.tsx,87,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/studio/workbench/WorkbenchDrawer.tsx,41,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/review/ReviewMatrix.tsx,11,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/pipeline-settings/PipelineSettingsPage.tsx,6,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/studio/workbench/WorkbenchTable.tsx,3,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/BatchPanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/LearningPanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/OverviewPanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/Phase09Panel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/PickerPanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/RuntimePanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/WorkerPanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/panels/PrefetchUrlPredictorPanel.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/studio/workbench/WorkbenchColumnPresets.tsx,2,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/components/common/DataTable.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/components/common/LinkedProductsList.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/components/common/ProgressBar.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/components/common/Tip.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/component-review/ComponentReviewPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/component-review/EnumSubTab.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/helpers.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/IndexingPage.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/EventStreamPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/LlmMetricsPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/LlmOutputPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/NeedSetPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/PanelControlsPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/Phase05Panel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/Phase06bPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/Phase06Panel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/Phase07Panel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/Phase08Panel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/SearchProfilePanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/SerpExplorerPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/SessionDataPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/indexing/panels/UrlHealthPanel.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/components/KanbanLane.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/components/ProgressRing.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/components/ScoreBar.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/components/StackedScoreBar.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/panels/ExtractionTab.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/panels/FallbacksTab.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/runtime-ops/panels/MetricsRail.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/studio/workbench/SystemBadges.tsx,1,near-duplicate,count of style={{ occurrences
inline-style-hotspot,src/pages/test-mode/TestModePage.tsx,1,near-duplicate,count of style={{ occurrences
